Id,WnvPresent
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0025
282,0.0025
283,0.0025
284,0.0025
285,0.0025
286,0.0025
287,0.0025
288,0.0025
289,0.0025
290,0.0025
291,0.0025
292,0.0025
293,0.0025
294,0.0025
295,0.0025
296,0.0025
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.005
322,0.005
323,0.005
324,0.005
325,0.005
326,0.005
327,0.005
328,0.005
329,0.0025
330,0.0025
331,0.0025
332,0.0025
333,0.0025
334,0.0025
335,0.0025
336,0.0025
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0025
442,0.0025
443,0.0025
444,0.0025
445,0.0025
446,0.0025
447,0.0025
448,0.0025
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0025
458,0.0025
459,0.0025
460,0.0025
461,0.0025
462,0.0025
463,0.0025
464,0.0025
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0025
490,0.0025
491,0.0025
492,0.0025
493,0.0025
494,0.0025
495,0.0025
496,0.0025
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0025
506,0.0025
507,0.0025
508,0.0025
509,0.0025
510,0.0025
511,0.0025
512,0.0025
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.005
554,0.005
555,0.005
556,0.005
557,0.005
558,0.005
559,0.005
560,0.005
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0025
626,0.0025
627,0.0025
628,0.0025
629,0.0025
630,0.0025
631,0.0025
632,0.0025
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0025
642,0.0025
643,0.0025
644,0.0025
645,0.0025
646,0.0025
647,0.0025
648,0.0025
649,0.0025
650,0.0025
651,0.0025
652,0.0025
653,0.0025
654,0.0025
655,0.0025
656,0.0025
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.005
666,0.005
667,0.005
668,0.005
669,0.005
670,0.005
671,0.005
672,0.005
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0025
682,0.0025
683,0.0025
684,0.0025
685,0.0025
686,0.0025
687,0.0025
688,0.0025
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0025
698,0.0025
699,0.0025
700,0.0025
701,0.0025
702,0.0025
703,0.0025
704,0.0025
705,0.0025
706,0.0025
707,0.0025
708,0.0025
709,0.0025
710,0.0025
711,0.0025
712,0.0025
713,0.0025
714,0.0025
715,0.0025
716,0.0025
717,0.0025
718,0.0025
719,0.0025
720,0.0025
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.005
738,0.005
739,0.005
740,0.005
741,0.005
742,0.005
743,0.005
744,0.005
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0025
770,0.0025
771,0.0025
772,0.0025
773,0.0025
774,0.0025
775,0.0025
776,0.0025
777,0.0025
778,0.0025
779,0.0025
780,0.0025
781,0.0025
782,0.0025
783,0.0025
784,0.0025
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0025
802,0.0025
803,0.0025
804,0.0025
805,0.0025
806,0.0025
807,0.0025
808,0.0025
809,0.005
810,0.005
811,0.005
812,0.005
813,0.005
814,0.005
815,0.005
816,0.005
817,0.005
818,0.005
819,0.005
820,0.005
821,0.005
822,0.005
823,0.005
824,0.005
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0025
842,0.0025
843,0.0025
844,0.0025
845,0.0025
846,0.0025
847,0.0025
848,0.0025
849,0.0025
850,0.0025
851,0.0025
852,0.0025
853,0.0025
854,0.0025
855,0.0025
856,0.0025
857,0.0025
858,0.0025
859,0.0025
860,0.0025
861,0.0025
862,0.0025
863,0.0025
864,0.0025
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0025
874,0.0025
875,0.0025
876,0.0025
877,0.0025
878,0.0025
879,0.0025
880,0.0025
881,0.0025
882,0.0025
883,0.0025
884,0.0025
885,0.0025
886,0.0025
887,0.0025
888,0.0025
889,0.0025
890,0.0025
891,0.0025
892,0.0025
893,0.0025
894,0.0025
895,0.0025
896,0.0025
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.005
922,0.005
923,0.005
924,0.005
925,0.005
926,0.005
927,0.005
928,0.005
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0025
954,0.0025
955,0.0025
956,0.0025
957,0.0025
958,0.0025
959,0.0025
960,0.0025
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0025
970,0.0025
971,0.0025
972,0.0025
973,0.0025
974,0.0025
975,0.0025
976,0.0025
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.005
994,0.005
995,0.005
996,0.005
997,0.005
998,0.005
999,0.005
1000,0.005
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0025
1042,0.0025
1043,0.0025
1044,0.0025
1045,0.0025
1046,0.0025
1047,0.0025
1048,0.0025
1049,0.0025
1050,0.0025
1051,0.0025
1052,0.0025
1053,0.0025
1054,0.0025
1055,0.0025
1056,0.0025
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0025
1066,0.0025
1067,0.0025
1068,0.0025
1069,0.0025
1070,0.0025
1071,0.0025
1072,0.0025
1073,0.0025
1074,0.0025
1075,0.0025
1076,0.0025
1077,0.0025
1078,0.0025
1079,0.0025
1080,0.0025
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0025
1106,0.0025
1107,0.0025
1108,0.0025
1109,0.0025
1110,0.0025
1111,0.0025
1112,0.0025
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0025
1154,0.0025
1155,0.0025
1156,0.0025
1157,0.0025
1158,0.0025
1159,0.0025
1160,0.0025
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0025
1170,0.0025
1171,0.0025
1172,0.0025
1173,0.0025
1174,0.0025
1175,0.0025
1176,0.0025
1177,0.0025
1178,0.0025
1179,0.0025
1180,0.0025
1181,0.0025
1182,0.0025
1183,0.0025
1184,0.0025
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0025
1194,0.0025
1195,0.0025
1196,0.0025
1197,0.0025
1198,0.0025
1199,0.0025
1200,0.0025
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.005
1218,0.005
1219,0.005
1220,0.005
1221,0.005
1222,0.005
1223,0.005
1224,0.005
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0075
1282,0.0075
1283,0.0075
1284,0.0075
1285,0.0075
1286,0.0075
1287,0.0075
1288,0.0075
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.005
1298,0.005
1299,0.005
1300,0.005
1301,0.005
1302,0.005
1303,0.005
1304,0.005
1305,0.005
1306,0.005
1307,0.005
1308,0.005
1309,0.005
1310,0.005
1311,0.005
1312,0.005
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.005
1322,0.005
1323,0.005
1324,0.005
1325,0.005
1326,0.005
1327,0.005
1328,0.005
1329,0.0025
1330,0.0025
1331,0.0025
1332,0.0025
1333,0.0025
1334,0.0025
1335,0.0025
1336,0.0025
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.005
1346,0.005
1347,0.005
1348,0.005
1349,0.005
1350,0.005
1351,0.005
1352,0.005
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.005
1370,0.005
1371,0.005
1372,0.005
1373,0.005
1374,0.005
1375,0.005
1376,0.005
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0025
1394,0.0025
1395,0.0025
1396,0.0025
1397,0.0025
1398,0.0025
1399,0.0025
1400,0.0025
1401,0.0025
1402,0.0025
1403,0.0025
1404,0.0025
1405,0.0025
1406,0.0025
1407,0.0025
1408,0.0025
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.005
1418,0.005
1419,0.005
1420,0.005
1421,0.005
1422,0.005
1423,0.005
1424,0.005
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.005
1442,0.005
1443,0.005
1444,0.005
1445,0.005
1446,0.005
1447,0.005
1448,0.005
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0025
1490,0.0025
1491,0.0025
1492,0.0025
1493,0.0025
1494,0.0025
1495,0.0025
1496,0.0025
1497,0.0025
1498,0.0025
1499,0.0025
1500,0.0025
1501,0.0025
1502,0.0025
1503,0.0025
1504,0.0025
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.005
1530,0.005
1531,0.005
1532,0.005
1533,0.005
1534,0.005
1535,0.005
1536,0.005
1537,0.0025
1538,0.0025
1539,0.0025
1540,0.0025
1541,0.0025
1542,0.0025
1543,0.0025
1544,0.0025
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.005
1586,0.005
1587,0.005
1588,0.005
1589,0.005
1590,0.005
1591,0.005
1592,0.005
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.005
1650,0.005
1651,0.005
1652,0.005
1653,0.005
1654,0.005
1655,0.005
1656,0.005
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.005
1666,0.005
1667,0.005
1668,0.005
1669,0.005
1670,0.005
1671,0.005
1672,0.005
1673,0.0025
1674,0.0025
1675,0.0025
1676,0.0025
1677,0.0025
1678,0.0025
1679,0.0025
1680,0.0025
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0025
1698,0.0025
1699,0.0025
1700,0.0025
1701,0.0025
1702,0.0025
1703,0.0025
1704,0.0025
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0025
1714,0.0025
1715,0.0025
1716,0.0025
1717,0.0025
1718,0.0025
1719,0.0025
1720,0.0025
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.005
1762,0.005
1763,0.005
1764,0.005
1765,0.005
1766,0.005
1767,0.005
1768,0.005
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0025
1834,0.0025
1835,0.0025
1836,0.0025
1837,0.0025
1838,0.0025
1839,0.0025
1840,0.0025
1841,0.0025
1842,0.0025
1843,0.0025
1844,0.0025
1845,0.0025
1846,0.0025
1847,0.0025
1848,0.0025
1849,0.0025
1850,0.0025
1851,0.0025
1852,0.0025
1853,0.0025
1854,0.0025
1855,0.0025
1856,0.0025
1857,0.005
1858,0.005
1859,0.005
1860,0.005
1861,0.005
1862,0.005
1863,0.005
1864,0.005
1865,0.0025
1866,0.0025
1867,0.0025
1868,0.0025
1869,0.0025
1870,0.0025
1871,0.0025
1872,0.0025
1873,0.005
1874,0.005
1875,0.005
1876,0.005
1877,0.005
1878,0.005
1879,0.005
1880,0.005
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0025
1890,0.0025
1891,0.0025
1892,0.0025
1893,0.0025
1894,0.0025
1895,0.0025
1896,0.0025
1897,0.0025
1898,0.0025
1899,0.0025
1900,0.0025
1901,0.0025
1902,0.0025
1903,0.0025
1904,0.0025
1905,0.0025
1906,0.0025
1907,0.0025
1908,0.0025
1909,0.0025
1910,0.0025
1911,0.0025
1912,0.0025
1913,0.0025
1914,0.0025
1915,0.0025
1916,0.0025
1917,0.0025
1918,0.0025
1919,0.0025
1920,0.0025
1921,0.005
1922,0.005
1923,0.005
1924,0.005
1925,0.005
1926,0.005
1927,0.005
1928,0.005
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.005
1946,0.005
1947,0.005
1948,0.005
1949,0.005
1950,0.005
1951,0.005
1952,0.005
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.005
1962,0.005
1963,0.005
1964,0.005
1965,0.005
1966,0.005
1967,0.005
1968,0.005
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0025
1978,0.0025
1979,0.0025
1980,0.0025
1981,0.0025
1982,0.0025
1983,0.0025
1984,0.0025
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.005
1994,0.005
1995,0.005
1996,0.005
1997,0.005
1998,0.005
1999,0.005
2000,0.005
2001,0.0025
2002,0.0025
2003,0.0025
2004,0.0025
2005,0.0025
2006,0.0025
2007,0.0025
2008,0.0025
2009,0.0025
2010,0.0025
2011,0.0025
2012,0.0025
2013,0.0025
2014,0.0025
2015,0.0025
2016,0.0025
2017,0.005
2018,0.005
2019,0.005
2020,0.005
2021,0.005
2022,0.005
2023,0.005
2024,0.005
2025,0.005
2026,0.005
2027,0.005
2028,0.005
2029,0.005
2030,0.005
2031,0.005
2032,0.005
2033,0.0025
2034,0.0025
2035,0.0025
2036,0.0025
2037,0.0025
2038,0.0025
2039,0.0025
2040,0.0025
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0025
2050,0.0025
2051,0.0025
2052,0.0025
2053,0.0025
2054,0.0025
2055,0.0025
2056,0.0025
2057,0.0025
2058,0.0025
2059,0.0025
2060,0.0025
2061,0.0025
2062,0.0025
2063,0.0025
2064,0.0025
2065,0.0025
2066,0.0025
2067,0.0025
